Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
07.10 11:06:19:459,-162.99181,-5.22037,-2.82405,-71.87618,0.16790,-0.41541,82.24043,7.03861,0.50025,8.87520,-1.65034,1.90839,
07.10 11:06:19:511,-163.00383,-5.22023,-2.82425,-71.87711,0.16641,-0.41582,82.24043,7.03861,0.50025,8.88630,-1.65198,1.90818,
07.10 11:06:19:559,-163.02301,-5.21721,-2.82427,-71.87949,0.17263,-0.41278,82.24043,7.03861,0.50025,8.90310,-1.64878,1.91123,
07.10 11:06:19:611,-163.00888,-5.21703,-2.82514,-71.87920,0.16982,-0.41259,82.24043,7.03861,0.50025,8.88926,-1.65176,1.91230,
07.10 11:06:19:656,-162.98888,-5.21761,-2.82516,-71.88047,0.16736,-0.41370,82.24043,7.03861,0.50025,8.86798,-1.65364,1.91121,
07.10 11:06:19:707,-162.99458,-5.21669,-2.82375,-71.88043,0.16643,-0.41345,82.24043,7.03861,0.50025,8.87373,-1.65549,1.91004,
07.10 11:06:19:762,-162.97797,-5.21875,-2.82357,-71.88003,0.16727,-0.41387,82.24043,7.03861,0.50025,8.85751,-1.65259,1.90945,
07.10 11:06:19:809,-162.96536,-5.21768,-2.82237,-71.88226,0.16668,-0.41381,82.24043,7.03861,0.50025,8.84268,-1.65425,1.90831,
07.10 11:06:19:859,-162.96948,-5.21877,-2.82397,-71.88359,0.16781,-0.41480,82.24043,7.03861,0.50025,8.84547,-1.65203,1.90891,
07.10 11:06:19:909,-162.99504,-5.21701,-2.82546,-71.88409,0.16859,-0.41347,82.24043,7.03861,0.50025,8.87052,-1.65302,1.91174,
07.10 11:06:19:959,-162.98891,-5.21888,-2.82525,-71.88372,0.16477,-0.41285,82.24043,7.03861,0.50025,8.86476,-1.65496,1.91214,
