Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,
06.17 10:59:32,83107,0.51236,0.12929,9.86890,-0.00639,-0.00213,0.00639,3.58887,3.88794,29.30908,-0.00716,117.76534,-2.26907,0.51670,0.01692,-0.01029,0.85592,
06.17 10:59:32,83108,0.51236,0.12929,9.86890,-0.00746,-0.00107,0.00533,2.84119,5.53284,28.56140,-0.00836,117.81844,-2.26938,0.51630,0.01692,-0.01029,0.85616,
06.17 10:59:32,83109,0.51236,0.13408,9.86890,-0.00959,-0.00107,0.00639,2.09351,4.48608,28.41187,-0.01059,117.87949,-2.26936,0.51584,0.01692,-0.01030,0.85643,
06.17 10:59:32,83110,0.50757,0.13408,9.87848,-0.00959,0.00000,0.00639,2.54211,4.03748,29.15955,-0.01319,117.92989,-2.26873,0.51547,0.01690,-0.01031,0.85666,
06.17 10:59:32,83111,0.51236,0.12929,9.87848,-0.00852,0.00000,0.00639,2.99072,5.38330,29.90723,-0.01510,117.98101,-2.26780,0.51509,0.01689,-0.01031,0.85689,
06.17 10:59:32,83112,0.52194,0.13408,9.87369,-0.00959,-0.00107,0.00533,2.99072,5.38330,29.90723,-0.01801,118.03140,-2.26758,0.51471,0.01688,-0.01032,0.85712,
06.17 10:59:32,83113,0.52194,0.12929,9.87369,-0.00852,-0.00107,0.00426,3.88794,4.48608,29.01001,-0.01995,118.05788,-2.26698,0.51451,0.01687,-0.01033,0.85724,
06.17 10:59:32,83114,0.51715,0.12929,9.87369,-0.01065,-0.00107,0.00533,2.69165,4.48608,30.50537,-0.02234,118.10825,-2.26661,0.51413,0.01686,-0.01034,0.85747,
06.17 10:59:32,83115,0.51236,0.12929,9.87369,-0.00959,-0.00107,0.00639,3.28979,6.28052,29.01001,-0.02459,118.15896,-2.26586,0.51375,0.01685,-0.01034,0.85769,
06.17 10:59:32,83116,0.51236,0.12929,9.87369,-0.00852,-0.00107,0.00426,2.09351,3.28979,28.71094,-0.02589,118.21339,-2.26553,0.51335,0.01685,-0.01034,0.85794,
06.17 10:59:32,83117,0.50278,0.12929,9.86411,-0.00959,0.00107,0.00533,3.28979,5.68237,28.41187,-0.02788,118.26003,-2.26479,0.51300,0.01684,-0.01035,0.85815,
06.17 10:59:32,83118,0.50757,0.12929,9.87848,-0.00959,-0.00107,0.00639,1.94397,4.33655,28.86047,-0.02997,118.32359,-2.26363,0.51252,0.01683,-0.01035,0.85844,
06.17 10:59:32,83119,0.52194,0.12450,9.86890,-0.00746,-0.00426,0.00639,3.73840,4.93469,28.56140,-0.03097,118.35763,-2.26419,0.51227,0.01683,-0.01036,0.85859,
06.17 10:59:32,83120,0.52194,0.13886,9.87848,-0.00533,-0.00107,0.00639,3.73840,4.93469,28.56140,-0.03181,118.39120,-2.26407,0.51201,0.01683,-0.01036,0.85875,
06.17 10:59:32,83121,0.51715,0.13886,9.87369,-0.00852,-0.00107,0.00533,4.18701,4.48608,28.41187,-0.03247,118.41264,-2.26397,0.51185,0.01683,-0.01036,0.85884,
06.17 10:59:32,83122,0.52194,0.12929,9.87369,-0.00746,-0.00107,0.00533,2.84119,6.13098,30.05676,-0.03466,118.46914,-2.26379,0.51143,0.01682,-0.01036,0.85910,
06.17 10:59:32,83123,0.52194,0.13408,9.86890,-0.00852,-0.00107,0.00533,2.39258,3.88794,29.60815,-0.03546,118.52265,-2.26411,0.51103,0.01682,-0.01036,0.85933,
06.17 10:59:32,83124,0.51715,0.12450,9.87848,-0.00852,0.00107,0.00639,1.64490,4.33655,28.86047,-0.03749,118.59436,-2.26357,0.51049,0.01682,-0.01037,0.85965,
06.17 10:59:32,83125,0.50278,0.13408,9.85932,-0.00959,-0.00213,0.00426,1.64490,4.33655,28.86047,-0.03843,118.66504,-2.26286,0.50996,0.01681,-0.01036,0.85996,
