Time,Counter,ax,ay,az,gx,gy,gz,mx,my,mz,roll,yaw,pitch,q0,q1,q2,q3,Rest,Mag Disturbance,
06.29 17:04:08:827,41684,0.03974,-0.09661,9.78701,0.00000,0.00000,-0.00000,0.37716,-0.15362,-0.58180,-0.54496,115.42110,-0.19186,0.53420,-0.00113,-0.00491,0.84535,1,0,
06.29 17:04:08:836,41685,0.04709,-0.09580,9.81152,0.00000,0.00000,-0.00000,0.37964,-0.15262,-0.58128,-0.54611,115.42175,-0.19171,0.53419,-0.00113,-0.00492,0.84535,1,0,
06.29 17:04:08:846,41686,0.04219,-0.08744,9.79381,0.00000,0.00000,-0.00000,0.37617,-0.15313,-0.58130,-0.54731,115.41552,-0.19140,0.53424,-0.00114,-0.00493,0.84532,1,0,
06.29 17:04:08:855,41687,0.02199,-0.08627,9.79669,0.00000,0.00000,-0.00000,0.37815,-0.15312,-0.58179,-0.54768,115.41359,-0.19192,0.53425,-0.00114,-0.00493,0.84531,1,0,
06.29 17:04:08:865,41688,0.03142,-0.07456,9.80129,0.00000,0.00000,-0.00000,0.37915,-0.15208,-0.58327,-0.54613,115.40858,-0.19188,0.53429,-0.00113,-0.00492,0.84529,1,0,
06.29 17:04:08:875,41689,0.03026,-0.06661,9.80749,0.00000,0.00000,-0.00000,0.37717,-0.15608,-0.58380,-0.54724,115.41090,-0.19195,0.53427,-0.00114,-0.00493,0.84530,1,0,
06.29 17:04:08:885,41690,0.02574,-0.08737,9.79712,0.00000,0.00000,-0.00000,0.38063,-0.15615,-0.57979,-0.54861,115.41154,-0.19237,0.53427,-0.00114,-0.00494,0.84530,1,0,
06.29 17:04:08:896,41691,0.02136,-0.07659,9.79268,0.00000,0.00000,-0.00000,0.37817,-0.15306,-0.58477,-0.55121,115.41119,-0.19146,0.53427,-0.00116,-0.00496,0.84530,1,0,
06.29 17:04:08:906,41692,0.04069,-0.08231,9.79583,0.00000,0.00000,-0.00000,0.37915,-0.15561,-0.58179,-0.55202,115.41068,-0.19178,0.53427,-0.00116,-0.00497,0.84530,1,0,
06.29 17:04:08:915,41693,0.03209,-0.09351,9.79757,0.00000,0.00000,-0.00000,0.37965,-0.15460,-0.58228,-0.55128,115.41048,-0.19135,0.53427,-0.00116,-0.00496,0.84530,1,0,
06.29 17:04:08:926,41694,0.02885,-0.07828,9.78949,0.00000,0.00000,-0.00000,0.37816,-0.15309,-0.58328,-0.55228,115.41136,-0.19249,0.53427,-0.00115,-0.00497,0.84530,1,0,
06.29 17:04:08:935,41695,0.03280,-0.09664,9.77280,0.00000,0.00000,-0.00000,0.37717,-0.15260,-0.58279,-0.55047,115.41039,-0.19370,0.53428,-0.00114,-0.00496,0.84529,1,0,
06.29 17:04:08:946,41696,0.02797,-0.08845,9.79590,0.00000,0.00000,-0.00000,0.37716,-0.15314,-0.58080,-0.55103,115.40617,-0.19310,0.53431,-0.00114,-0.00497,0.84528,1,0,
06.29 17:04:08:955,41697,0.04281,-0.07772,9.78430,0.00000,0.00000,-0.00000,0.37716,-0.15562,-0.58180,-0.55116,115.40456,-0.19143,0.53432,-0.00116,-0.00496,0.84527,1,0,
