Time,Huro_Yaw,Huro_Roll,Huro_Pitch,XSens_Yaw,XSens_Roll,XSens_Pitch,Base_Yaw,Base_Roll,Base_Pitch,Diff_Yaw,Diff_Roll,Diff_Pitch,
06.29 16:44:28:544,42.06476,-3.98862,2.43720,107.46491,-2.99019,3.05877,64.85825,1.28606,0.44938,0.54189,-0.28763,0.17219,
06.29 16:44:28:578,43.77950,-3.92816,2.46907,109.75642,-2.88916,3.09437,64.85825,1.28606,0.44938,1.11867,-0.24707,0.17592,
06.29 16:44:28:611,46.05011,-3.74312,2.50921,111.43680,-2.76977,3.12166,64.85825,1.28606,0.44938,0.52843,-0.31271,0.16307,
06.29 16:44:28:645,47.69739,-3.62671,2.53019,113.10022,-2.67523,3.13577,64.85825,1.28606,0.44938,0.54458,-0.33458,0.15621,
06.29 16:44:28:677,49.90873,-3.51079,2.56573,115.29442,-2.59070,3.17010,64.85825,1.28606,0.44938,0.52744,-0.36598,0.15500,
06.29 16:44:28:709,51.47387,-3.42357,2.62812,116.87043,-2.51740,3.23622,64.85825,1.28606,0.44938,0.53831,-0.37990,0.15872,
06.29 16:44:28:743,52.99512,-3.32037,2.69891,118.40320,-2.43414,3.30493,64.85825,1.28606,0.44938,0.54983,-0.39984,0.15665,
06.29 16:44:28:777,55.02169,-3.31818,2.80725,120.41502,-2.47742,3.41338,64.85825,1.28606,0.44938,0.53509,-0.44530,0.15675,
06.29 16:44:28:810,56.49977,-3.40095,2.87964,121.90134,-2.57801,3.48935,64.85825,1.28606,0.44938,0.54331,-0.46312,0.16033,
06.29 16:44:28:842,57.95391,-3.42985,2.95405,123.36472,-2.60822,3.56619,64.85825,1.28606,0.44938,0.55256,-0.46443,0.16276,
06.29 16:44:28:877,59.89164,-3.35728,3.07652,125.28836,-2.54535,3.69079,64.85825,1.28606,0.44938,0.53846,-0.47414,0.16489,
06.29 16:44:28:911,61.28793,-3.28920,3.14311,126.69341,-2.48906,3.75376,64.85825,1.28606,0.44938,0.54722,-0.48592,0.16127,
06.29 16:44:28:944,62.70041,-3.22368,3.18052,128.12297,-2.43835,3.78917,64.85825,1.28606,0.44938,0.56431,-0.50074,0.15927,
06.29 16:44:28:978,64.62492,-3.14429,3.23661,130.03088,-2.38202,3.85026,64.85825,1.28606,0.44938,0.54771,-0.52379,0.16428,
06.29 16:44:29:011,66.02804,-3.05874,3.26398,131.44823,-2.31037,3.87218,64.85825,1.28606,0.44938,0.56194,-0.53769,0.15882,
06.29 16:44:29:044,67.44248,-3.01829,3.25370,132.87001,-2.29845,3.85968,64.85825,1.28606,0.44938,0.56927,-0.56622,0.15660,
06.29 16:44:29:076,69.30847,-3.02374,3.20331,134.71809,-2.32644,3.81502,64.85825,1.28606,0.44938,0.55137,-0.58876,0.16233,
